subset,n_nonzero,min,p25,median,p75,p99,max,mean,total
all rows,72560,1,2000,5525,19000,1200000,100728768.13,80066.76,5809643821.07
dup==0 only,72143,1,2000,5500,18900,1100000,100728768.13,77203.07,5569661207.83
