column,n_non_na,pct_na,min,p25,median,p75,max
EARLIEST_PROGRAM_BEGIN_YEAR_RAW,267121,0.045,218,2014,2014,2015,2028
EARLIEST_PROGRAM_BEGIN_YEAR,260106,0.07,1970,2014,2014,2015,2025
