panel,n_facility_years,n_na,pct_na,n_nonna,min,median,p95,max,mean,total
major_synmin,504603,492589,0.9762,12014,80,9000,276701,47833048.21,144604.34,1737276526.59
electric,32615,31744,0.9733,871,100,7815,166500,4935023,75522.23,65779860.62
