panel,n_facilities,pct_has_coordinate,pct_gross_error,dist_median_km,dist_p95_km,dist_max_km
major_synmin,45873,0.9042,0.0209,0,0,1617.82
electric,2965,0.9669,0.0099,0,0,768.24
