panel,variable,level,n,pct
electric,AIR_POLLUTANT_CLASS_DESC,Synthetic Minor Emissions,796,0.2685
electric,FACILITY_TYPE,Privately owned,1354,0.7119
electric,FACILITY_TYPE,Municipality,222,0.1167
electric,FACILITY_TYPE,Non-government,205,0.1078
electric,FACILITY_TYPE,Corporation,42,0.0221
electric,FACILITY_TYPE,Federal facility,25,0.0131
electric,FACILITY_TYPE,County government,20,0.0105
electric,FACILITY_TYPE,State facility,18,0.0095
electric,FACILITY_TYPE,Municipal or water district,7,0.0037
electric,FACILITY_TYPE,Tribal government,6,0.0032
electric,FACILITY_TYPE,District,2,0.0011
electric,FACILITY_TYPE,Mixed ownership (public/private),1,0.0005
